"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",39.051852,-120.1185209,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336645","GENERAL C NR MEEKS BAY CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336645/",777,1186,"California","El Dorado County"
"2","FeatureCollection Feature Point",39.1074071,-120.1621352,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336660","BLACKWOOD C NR TAHOE CITY CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336660/",822,1251,"California","Placer County"
"3","FeatureCollection Feature Point",39.1407401,-120.2121377,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336674","WARD C BL CONFLUENCE NR TAHOE CITY CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336674/",417,634,"California","Placer County"
"4","FeatureCollection Feature Point",39.1321292,-120.1576913,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336676","WARD C AT HWY 89 NR TAHOE PINES CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336676/",844,1298,"California","Placer County"
"5","FeatureCollection Feature Point",37.6760406,-121.2663293,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11303500","SAN JOAQUIN R NR VERNALIS CA","Stream","Stream","18040003","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11303500/",860,1468,"California","San Joaquin County"
"6","FeatureCollection Feature Point",38.4560195,-121.5013437,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11447650","SACRAMENTO R A FREEPORT CA","Stream","Stream","18020163","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11447650/",541,960,"California","Sacramento County"
"7","FeatureCollection Feature Point",38.796296,-120.0190718,"NWIS","USGS-NV","USGS Nevada Water Science Center","USGS-10336580","UPPER TRUCKEE RV AT S UPPER TRUCKEE RD NR MEYERS","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NV/USGS-10336580/",501,728,"California","El Dorado County"
"8","FeatureCollection Feature Point",38.8485185,-120.0271275,"NWIS","USGS-NV","USGS Nevada Water Science Center","USGS-103366092","UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NV/USGS-103366092/",488,720,"California","El Dorado County"
"9","FeatureCollection Feature Point",36.9547,-121.771,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-PintoLake_Buoy2","Pinto Lake Monitoring Buoy 2","Other-Surface Water","Aggregate surface-water-use","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-PintoLake_Buoy2/",540,540,"California","Santa Cruz County"
"10","FeatureCollection Feature Point",42.9558,-122.083,"STORET","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-CRLA_LTLMP_ST13","Crater Lake Station 13, Long Term Monitoring Program","Lake","Lake, Reservoir, Impoundment","18010201","https://www.waterqualitydata.us/data/provider/STORET/11NPSWRD_WQX/11NPSWRD_WQX-CRLA_LTLMP_ST13/",722,722,"Oregon","Klamath County"
"11","FeatureCollection Feature Point",45.1003982,-122.8217596,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14201300","ZOLLNER CREEK NEAR MT ANGEL, OR","Stream","Stream","17090009","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14201300/",405,688,"Oregon","Marion County"
"12","FeatureCollection Feature Point",45.4673339,-123.2917776,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14202300","TUALATIN RIVER AT CHERRY GROVE, OR.","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14202300/",531,531,"Oregon","Washington County"
"13","FeatureCollection Feature Point",45.4692797,-123.200109,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14202980","SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14202980/",509,509,"Oregon","Washington County"
"14","FeatureCollection Feature Point",45.4748365,-123.124274,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14203500","TUALATIN RIVER NEAR DILLEY, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14203500/",907,908,"Oregon","Washington County"
"15","FeatureCollection Feature Point",45.5106697,-123.1156632,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14204530","GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14204530/",709,710,"Oregon","Washington County"
"16","FeatureCollection Feature Point",45.5020597,-123.0562173,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14204800","TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14204800/",1020,1020,"Oregon","Washington County"
"17","FeatureCollection Feature Point",45.5198381,-123.0106608,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206200","DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206200/",1017,1020,"Oregon","Washington County"
"18","FeatureCollection Feature Point",45.5001163,-122.9912157,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206241","TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206241/",954,954,"Oregon","Washington County"
"19","FeatureCollection Feature Point",45.4901167,-122.9514922,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206295","TUALATIN RIVER AT ROOD BRIDGE AT HILLSBORO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206295/",922,923,"Oregon","Washington County"
"20","FeatureCollection Feature Point",45.5551168,-122.8081555,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206419","BRONSON CREEK AT SALTZMAN ROAD","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206419/",508,508,"Oregon","Washington County"
"21","FeatureCollection Feature Point",45.5206722,-122.8995466,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206435","BEAVERTON CREEK AT SW 216TH AVE, NR ORENCO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206435/",502,502,"Oregon","Washington County"
"22","FeatureCollection Feature Point",45.5237277,-122.9092692,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206445","See new number 14206347","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206445/",684,684,"Oregon","Washington County"
"23","FeatureCollection Feature Point",45.5023388,-122.9478811,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206450","ROCK CREEK NEAR HILLSBORO,OREG.","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206450/",545,547,"Oregon","Washington County"
