"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",37.2253,-77.4764,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-2-APP016.38","ROUTE 600 BRIDGE (CHESTERFIELD COUNTY)","River/Stream","Stream","02080207","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-2-APP016.38/",471,1287,"Virginia","Chesterfield County"
"2","FeatureCollection Feature Point",37.2029,-76.7822,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-2-JMS042.92","SWANN POINT","Estuary","Estuary","02080206","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-2-JMS042.92/",1073,1073,"Virginia","James City County"
"3","FeatureCollection Feature Point",37.6711,-78.0858,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-2-JMS157.28","JAMES R., RT. 45 BRIDGE AT CARTERSVILLE","River/Stream","Stream","02080205","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-2-JMS157.28/",509,1369,"Virginia","Goochland County"
"4","FeatureCollection Feature Point",38.1129,-77.0555,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-3-RPP064.40","(TF3.2A) BLIND POINT","Estuary","Estuary","02080104","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-3-RPP064.40/",1173,1181,"Virginia","Essex County"
"5","FeatureCollection Feature Point",38.1747,-77.1866,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-3-RPP080.19","100 YDS DOWNSTREAM 301 BRIDGE @ PT ROYAL","Estuary","Estuary","02080104","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-3-RPP080.19/",1024,1032,"Virginia","King George County"
"6","FeatureCollection Feature Point",38.2447,-77.3251,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-3-RPP098.81","Near Hayfield Bar","Estuary","Estuary","02080104","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-3-RPP098.81/",1391,1399,"Virginia","King George County"
"7","FeatureCollection Feature Point",38.3222,-77.5181,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-3-RPP113.37","USGS cableway","River/Stream","Stream","02080104","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-3-RPP113.37/",485,1350,"Virginia","Fredericksburg City"
"8","FeatureCollection Feature Point",37.5717,-76.7933,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-8-MPN004.39","MUDDY POINT","Estuary","Estuary","02080105","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-8-MPN004.39/",1002,1006,"Virginia","King and Queen County"
"9","FeatureCollection Feature Point",37.7229,-77.024,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-8-MPN029.08","RT. 629 BRIDGE AT WALKERTON","Estuary","Estuary","02080105","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-8-MPN029.08/",1233,1239,"Virginia","King William County"
"10","FeatureCollection Feature Point",37.8839,-77.165,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-8-MPN054.17","Rt. # 628   (Spring Cottage Rd)","River/Stream","Stream","02080105","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-8-MPN054.17/",524,1387,"Virginia","King William County"
"11","FeatureCollection Feature Point",37.5798,-77.0222,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-8-PMK034.17","RAILROAD TRESTLE AT WHITE HOUSE","Estuary","Estuary","02080106","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-8-PMK034.17/",993,1001,"Virginia","New Kent County"
"12","FeatureCollection Feature Point",37.7678,-77.3322,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-8-PMK082.34","Pamunkey River at RT. 614 BRIDGE","River/Stream","Stream","02080106","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-8-PMK082.34/",557,1432,"Virginia","Hanover County"
"13","FeatureCollection Feature Point",39.44149,-76.025993,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB2.1","Turkey Point","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB2.1/",1343,2023,"Maryland","Cecil County"
"14","FeatureCollection Feature Point",39.348732,-76.175789,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB2.2","Still Pond","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB2.2/",3018,4800,"Maryland","Kent County"
"15","FeatureCollection Feature Point",39.2495,-76.240501,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB3.1","Gunpowder Neck","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB3.1/",2485,3871,"Maryland","Kent County"
"16","FeatureCollection Feature Point",39.163692,-76.306313,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB3.2","Swan Point","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB3.2/",2439,3845,"Maryland","Kent County"
"17","FeatureCollection Feature Point",38.995956,-76.359673,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB3.3C","Bay Bridge","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB3.3C/",3375,5238,"Maryland","Queen Anne's County"
"18","FeatureCollection Feature Point",39.004116,-76.345169,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB3.3E","Bay Bridge (NE)","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB3.3E/",1120,1828,"Maryland","Queen Anne's County"
"19","FeatureCollection Feature Point",39.00462,-76.3881,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB3.3W","Bay Bridge (NW)","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB3.3W/",1125,1859,"Maryland","Anne Arundel County"
"20","FeatureCollection Feature Point",38.825928,-76.399452,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.1C","Kent Point (SW)","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.1C/",2543,3982,"Maryland","Queen Anne's County"
"21","FeatureCollection Feature Point",38.818092,-76.371437,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.1E","Kent Point (S)","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.1E/",1924,3048,"Maryland","Queen Anne's County"
"22","FeatureCollection Feature Point",38.81498,-76.462715,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.1W","Horseshoe Point","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.1W/",1478,2421,"Maryland","Anne Arundel County"
"23","FeatureCollection Feature Point",38.646183,-76.421265,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.2C","MD Mid Bay","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.2C/",2592,4005,"Maryland","Talbot County"
"24","FeatureCollection Feature Point",38.644985,-76.401314,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.2E","Tilghman Island","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.2E/",1574,2530,"Maryland","Talbot County"
"25","FeatureCollection Feature Point",38.643539,-76.502167,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.2W","Plum Point","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.2W/",1121,1815,"Maryland","Calvert County"
"26","FeatureCollection Feature Point",38.555054,-76.42794,"STORET","MDDNR","Maryland Department of Natural Resources","MDDNR-CB4.3C","Dares Beach","Estuary","Estuary","02060001","https://www.waterqualitydata.us/data/provider/STORET/MDDNR/MDDNR-CB4.3C/",3108,4803,"Maryland","Dorchester County"
