"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",34.4736,-120.228,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-315GAV","Canada de la Gaviota at State Park entrance","River/Stream","Stream","18060013","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-315GAV/",111,111,"California","Santa Barbara County"
"2","FeatureCollection Feature Point",37.6760406,-121.2663293,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11303500","SAN JOAQUIN R NR VERNALIS CA","Stream","Stream","18040003","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11303500/",270,270,"California","San Joaquin County"
"3","FeatureCollection Feature Point",38.4560195,-121.5013437,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11447650","SACRAMENTO R A FREEPORT CA","Stream","Stream","18020163","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11447650/",178,178,"California","Sacramento County"
"4","FeatureCollection Feature Point",39.1666718,-120.143898,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-101-M-001","Truckee River @ Tahoe City","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-101-M-001/",161,161,"California","Placer County"
"5","FeatureCollection Feature Point",39.3093414,-120.2052002,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-102-M-001","Truckee River above Donner Creek","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-102-M-001/",147,147,"California","Placer County"
"6","FeatureCollection Feature Point",39.3486099,-120.1194,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-102-M-002","Truckee River above Martis Creek","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-102-M-002/",143,143,"California","Nevada County"
"7","FeatureCollection Feature Point",39.3533897,-120.1228027,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-102-M-003","Truckee River below Martis Creek","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-102-M-003/",150,150,"California","Nevada County"
"8","FeatureCollection Feature Point",39.365551,-120.0746994,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-102-M-004","Truckee River above Juniper Creek","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-102-M-004/",142,142,"California","Nevada County"
"9","FeatureCollection Feature Point",39.4212799,-120.0326996,"STORET","21NEV1_WQX","Nevada Division of Environmental Protection","21NEV1_WQX-NV06-102-M-005","Truckee River @ Farad","River/Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/STORET/21NEV1_WQX/21NEV1_WQX-NV06-102-M-005/",178,178,"California","Nevada County"
"10","FeatureCollection Feature Point",36.9739,-121.903,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-304APT","Aptos Creek at Spreckles Drive","River/Stream","Stream","18060015","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-304APT/",112,112,"California","Santa Cruz County"
"11","FeatureCollection Feature Point",37.1658,-122.36,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-304GAZ","Gazos Creek Lagoon at Highway 1","River/Stream","Stream","18050006","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-304GAZ/",109,109,"California","San Mateo County"
"12","FeatureCollection Feature Point",36.9697,-122.022,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-304LOR","San Lorenzo Estuary at Laurel Street","River/Stream","Stream","18060015","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-304LOR/",130,130,"California","Santa Cruz County"
"13","FeatureCollection Feature Point",37.0405,-122.228,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-304SCO","Scott Creek Lagoon at Highway 1","River/Stream","Stream","18050006","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-304SCO/",120,120,"California","Santa Cruz County"
"14","FeatureCollection Feature Point",37.0964,-122.277,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-304WAD","Waddell Creek Lagoon at Highway 1","River/Stream","Stream","18050006","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-304WAD/",115,115,"California","Santa Cruz County"
"15","FeatureCollection Feature Point",36.9003,-121.596,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305CHI","Pajaro River at Chittenden Gap","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305CHI/",173,173,"California","San Benito County"
"16","FeatureCollection Feature Point",36.9128,-121.744,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305COR","Salsipuedes Creek downstream of Corralitos Creek","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305COR/",127,127,"California","Santa Cruz County"
"17","FeatureCollection Feature Point",36.9634,-121.491,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305FRA","Pajaro River at Frazier Lake Road","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305FRA/",127,127,"California","San Benito County"
"18","FeatureCollection Feature Point",36.9893,-121.533,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305LCS","Llagas Creek @ Southside","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305LCS/",107,107,"California","Santa Clara County"
"19","FeatureCollection Feature Point",36.9044,-121.75,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305PJP","Pajaro River at Porter/Main","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305PJP/",154,154,"California","Monterey County"
"20","FeatureCollection Feature Point",36.8754,-121.561,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305SJA","San Juan Creek @ Anzar Rd","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305SJA/",121,121,"California","San Benito County"
"21","FeatureCollection Feature Point",36.8798,-121.792,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305THU","Pajaro River at Thurwachter Bridge","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305THU/",154,154,"California","Monterey County"
"22","FeatureCollection Feature Point",36.9425,-121.445,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-305TSR","Tequisquita Slough upstream Pajaro River @ Shore Rd","River/Stream","Stream","18060002","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-305TSR/",109,109,"California","San Benito County"
