"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",30.65,-95.0417,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-10899","LK LIVINGSTON NEAR DAM","Reservoir","Lake, Reservoir, Impoundment","12030202","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-10899/",612,612,"",""
"2","FeatureCollection Feature Point",30.8597,-95.3983,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-10914","LAKE LIVINGSTON AT SH 19","Reservoir","Lake, Reservoir, Impoundment","12030202","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-10914/",520,526,"",""
"3","FeatureCollection Feature Point",32.7074,-96.7357,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-10934","TRINITY R AT SOUTH LOOP SH 12","River/Stream","Stream","12030105","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-10934/",464,593,"",""
"4","FeatureCollection Feature Point",31.7859,-97.5675,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-11956","NORTH BOSQUE RIVER AT FM 219","River/Stream","Stream","12060204","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-11956/",695,698,"",""
"5","FeatureCollection Feature Point",31.9772,-98.035,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-11961","NORTH BOSQUE RIVER AT US 281","River/Stream","Stream","12060204","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-11961/",587,587,"",""
"6","FeatureCollection Feature Point",32.1931,-98.184,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-11963","NORTH BOSQUE RIVER AT CR 454","River/Stream","Stream","12060204","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-11963/",580,580,"",""
"7","FeatureCollection Feature Point",30.295,-97.7861,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12294","LK AUSTIN NEAR TOM MILLER DAM","Reservoir","Lake, Reservoir, Impoundment","12090205","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12294/",611,611,"",""
"8","FeatureCollection Feature Point",30.392,-97.905,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12302","LAKE TRAVIS NEAR DAM","Reservoir","Lake, Reservoir, Impoundment","12090205","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12302/",581,581,"",""
"9","FeatureCollection Feature Point",30.499,-98.104,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12316","LAKE TRAVIS NEAR SHAW ROAD","Reservoir","Lake, Reservoir, Impoundment","12090205","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12316/",556,556,"",""
"10","FeatureCollection Feature Point",30.5567,-98.2568,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12319","LAKE MARBLE FALLS NEAR DAM","Reservoir","Lake, Reservoir, Impoundment","12090205","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12319/",566,566,"",""
"11","FeatureCollection Feature Point",30.555,-98.339,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12324","LAKE LBJ NEAR ALVIN WIRTZ DAM","Reservoir","Lake, Reservoir, Impoundment","12090201","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12324/",592,592,"",""
"12","FeatureCollection Feature Point",30.732,-98.383,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12336","INKS LAKE NEAR INKS DAM","Reservoir","Lake, Reservoir, Impoundment","12090201","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12336/",581,581,"",""
"13","FeatureCollection Feature Point",30.751,-98.42,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12344","LK BUCHANAN NEAR BUCHANAN DAM","Reservoir","Lake, Reservoir, Impoundment","12090201","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12344/",607,607,"",""
"14","FeatureCollection Feature Point",30.815,-98.406,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-12347","LK BUCHANAN NEAR ROCKY RIDGE","Reservoir","Lake, Reservoir, Impoundment","12090201","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-12347/",581,581,"",""
"15","FeatureCollection Feature Point",32.0412,-96.2075,"STORET","TCEQMAIN","Texas Commission on Environmental Quality","TCEQMAIN-15170","RICHLAND-CHAMBERS RESERVOIR","Reservoir","Lake, Reservoir, Impoundment","12030109","https://www.waterqualitydata.us/data/provider/STORET/TCEQMAIN/TCEQMAIN-15170/",492,608,"",""
"16","FeatureCollection Feature Point",37.3114,-77.2969,"STORET","21VASWCB","VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY","21VASWCB-2-APP001.53","BUOY 8 (CITY OF HOPEWELL)","Estuary","Estuary","02080207","https://www.waterqualitydata.us/data/provider/STORET/21VASWCB/21VASWCB-2-APP001.53/",894,900,"Virginia","Chesterfield County"
